degree,gamma,C,coef0,Training Data, Validation Data
2,1.0,0.01,100.0,99.94897959183675,67.89883268482491
2,10.0,0.01,100.0,99.94897959183675,68.09338521400778
2,100.0,0.01,100.0,99.94897959183675,68.09338521400778
3,0.001,0.01,100.0,99.79591836734694,65.75875486381322
3,0.01,0.01,100.0,99.94897959183675,65.95330739299611
3,0.1,0.01,100.0,99.94897959183675,67.70428015564202
3,1.0,0.01,100.0,99.94897959183675,68.48249027237354
3,10.0,0.01,100.0,99.94897959183675,68.8715953307393
3,100.0,0.01,100.0,99.94897959183675,68.8715953307393
4,0.001,0.01,100.0,99.94897959183675,65.75875486381322
4,0.01,0.01,100.0,99.94897959183675,65.95330739299611
4,0.1,0.01,100.0,99.94897959183675,68.28793774319067
4,1.0,0.01,100.0,99.94897959183675,68.67704280155642
4,10.0,0.01,100.0,99.94897959183675,68.8715953307393
1,0.001,0.1,0.001,23.36734693877551,21.011673151750973
1,0.01,0.1,0.001,43.87755102040816,34.824902723735406
1,0.1,0.1,0.001,93.31632653061224,66.14785992217898
1,1.0,0.1,0.001,99.59183673469387,65.95330739299611
1,10.0,0.1,0.001,99.84693877551021,65.95330739299611
1,100.0,0.1,0.001,99.94897959183675,65.95330739299611
2,0.001,0.1,0.001,23.77551020408163,21.78988326848249
2,0.01,0.1,0.001,97.29591836734693,67.70428015564202
2,0.1,0.1,0.001,99.94897959183675,68.09338521400778
2,1.0,0.1,0.001,99.94897959183675,68.09338521400778
2,10.0,0.1,0.001,99.94897959183675,68.09338521400778
2,100.0,0.1,0.001,99.94897959183675,68.09338521400778
3,0.001,0.1,0.001,23.8265306122449,21.78988326848249
3,0.01,0.1,0.001,99.74489795918367,68.48249027237354
3,0.1,0.1,0.001,99.94897959183675,68.8715953307393
3,1.0,0.1,0.001,99.94897959183675,68.8715953307393
3,10.0,0.1,0.001,99.94897959183675,68.8715953307393
3,100.0,0.1,0.001,99.94897959183675,68.8715953307393
4,0.001,0.1,0.001,23.92857142857143,21.40077821011673
4,0.01,0.1,0.001,99.94897959183675,68.8715953307393
4,0.1,0.1,0.001,99.94897959183675,68.8715953307393
4,1.0,0.1,0.001,99.94897959183675,68.8715953307393
4,10.0,0.1,0.001,99.94897959183675,68.8715953307393
4,100.0,0.1,0.001,98.41836734693878,68.8715953307393
1,0.001,0.1,0.01,23.36734693877551,21.011673151750973
1,0.01,0.1,0.01,43.826530612244895,34.824902723735406
1,0.1,0.1,0.01,93.31632653061224,66.14785992217898
1,1.0,0.1,0.01,99.59183673469387,65.95330739299611
1,10.0,0.1,0.01,99.84693877551021,65.95330739299611
1,100.0,0.1,0.01,99.94897959183675,65.95330739299611
2,0.001,0.1,0.01,23.77551020408163,21.78988326848249
2,0.01,0.1,0.01,97.29591836734693,67.89883268482491
2,0.1,0.1,0.01,99.94897959183675,68.09338521400778
2,1.0,0.1,0.01,99.94897959183675,68.09338521400778
2,10.0,0.1,0.01,99.94897959183675,68.09338521400778
2,100.0,0.1,0.01,99.94897959183675,68.09338521400778
3,0.001,0.1,0.01,23.8265306122449,21.78988326848249
3,0.01,0.1,0.01,99.74489795918367,68.48249027237354
3,0.1,0.1,0.01,99.94897959183675,68.8715953307393
3,1.0,0.1,0.01,99.94897959183675,68.8715953307393
3,10.0,0.1,0.01,99.94897959183675,68.8715953307393
3,100.0,0.1,0.01,99.94897959183675,68.8715953307393
4,0.001,0.1,0.01,23.92857142857143,21.40077821011673
4,0.01,0.1,0.01,99.94897959183675,68.8715953307393
4,0.1,0.1,0.01,99.94897959183675,68.8715953307393
4,1.0,0.1,0.01,99.94897959183675,68.8715953307393
1,0.001,0.1,0.1,23.36734693877551,21.011673151750973
1,0.01,0.1,0.1,43.87755102040816,34.824902723735406
1,0.1,0.1,0.1,93.31632653061224,66.14785992217898
1,1.0,0.1,0.1,99.59183673469387,65.95330739299611
1,10.0,0.1,0.1,99.84693877551021,65.95330739299611
1,100.0,0.1,0.1,99.94897959183675,65.95330739299611
2,0.001,0.1,0.1,23.72448979591837,21.78988326848249
2,0.01,0.1,0.1,97.39795918367346,67.70428015564202
2,0.1,0.1,0.1,99.94897959183675,68.09338521400778
2,1.0,0.1,0.1,99.94897959183675,68.09338521400778
2,10.0,0.1,0.1,99.94897959183675,68.09338521400778
2,100.0,0.1,0.1,99.94897959183675,68.09338521400778
3,0.001,0.1,0.1,23.8265306122449,21.98443579766537
3,0.01,0.1,0.1,99.74489795918367,68.48249027237354
3,0.1,0.1,0.1,99.94897959183675,68.8715953307393
3,1.0,0.1,0.1,99.94897959183675,68.8715953307393
3,10.0,0.1,0.1,99.94897959183675,68.8715953307393
3,100.0,0.1,0.1,99.94897959183675,68.8715953307393
4,0.001,0.1,0.1,23.77551020408163,21.40077821011673
4,0.01,0.1,0.1,99.94897959183675,68.8715953307393
4,0.1,0.1,0.1,99.94897959183675,68.8715953307393
4,1.0,0.1,0.1,99.94897959183675,68.8715953307393
4,10.0,0.1,0.1,99.94897959183675,68.67704280155642
4,100.0,0.1,0.1,98.41836734693878,68.8715953307393
1,0.001,0.1,1.0,23.36734693877551,21.011673151750973
1,0.01,0.1,1.0,43.826530612244895,34.824902723735406
1,0.1,0.1,1.0,93.31632653061224,66.14785992217898
1,1.0,0.1,1.0,99.59183673469387,65.95330739299611
1,10.0,0.1,1.0,99.84693877551021,65.95330739299611
1,100.0,0.1,1.0,99.94897959183675,65.95330739299611
2,0.001,0.1,1.0,23.520408163265305,21.40077821011673
2,0.01,0.1,1.0,97.8061224489796,67.12062256809338
2,0.1,0.1,1.0,99.94897959183675,68.09338521400778
2,1.0,0.1,1.0,99.94897959183675,68.09338521400778
2,10.0,0.1,1.0,99.94897959183675,68.09338521400778
2,100.0,0.1,1.0,99.94897959183675,68.09338521400778
3,0.001,0.1,1.0,42.80612244897959,35.40856031128405
3,0.01,0.1,1.0,99.79591836734694,68.28793774319067
3,0.1,0.1,1.0,99.94897959183675,68.8715953307393
3,1.0,0.1,1.0,99.94897959183675,68.8715953307393
3,10.0,0.1,1.0,99.94897959183675,68.8715953307393
3,100.0,0.1,1.0,99.94897959183675,68.8715953307393
4,0.001,0.1,1.0,75.91836734693878,59.92217898832685
4,0.01,0.1,1.0,99.94897959183675,68.67704280155642
4,0.1,0.1,1.0,99.94897959183675,68.8715953307393
4,1.0,0.1,1.0,99.94897959183675,68.8715953307393
4,10.0,0.1,1.0,99.94897959183675,68.48249027237354
4,100.0,0.1,1.0,98.41836734693878,68.8715953307393
1,0.001,0.1,10.0,23.36734693877551,21.011673151750973
1,0.01,0.1,10.0,43.826530612244895,34.824902723735406
1,0.1,0.1,10.0,93.31632653061224,66.14785992217898
1,1.0,0.1,10.0,99.59183673469387,65.95330739299611
1,10.0,0.1,10.0,99.84693877551021,65.95330739299611
1,100.0,0.1,10.0,99.94897959183675,65.95330739299611
2,0.001,0.1,10.0,71.27551020408164,56.42023346303502
2,0.01,0.1,10.0,99.13265306122449,66.53696498054474
2,0.1,0.1,10.0,99.94897959183675,67.89883268482491
2,1.0,0.1,10.0,99.94897959183675,68.09338521400778
2,10.0,0.1,10.0,99.94897959183675,68.09338521400778
2,100.0,0.1,10.0,99.94897959183675,68.09338521400778
3,0.001,0.1,10.0,99.03061224489797,66.53696498054474
3,0.01,0.1,10.0,99.89795918367346,67.70428015564202
3,0.1,0.1,10.0,99.94897959183675,68.48249027237354
3,1.0,0.1,10.0,99.94897959183675,68.8715953307393
3,10.0,0.1,10.0,99.94897959183675,68.8715953307393
3,100.0,0.1,10.0,99.94897959183675,68.8715953307393
4,0.001,0.1,10.0,99.84693877551021,65.56420233463035
4,0.01,0.1,10.0,99.94897959183675,68.28793774319067
4,0.1,0.1,10.0,99.94897959183675,68.67704280155642
4,1.0,0.1,10.0,99.94897959183675,68.8715953307393
4,10.0,0.1,10.0,99.94897959183675,68.67704280155642
1,0.001,0.1,100.0,23.36734693877551,21.011673151750973
1,0.01,0.1,100.0,43.826530612244895,34.824902723735406
1,0.1,0.1,100.0,93.31632653061224,66.14785992217898
1,1.0,0.1,100.0,99.59183673469387,65.95330739299611
1,10.0,0.1,100.0,99.84693877551021,65.95330739299611
1,100.0,0.1,100.0,99.94897959183675,65.95330739299611
2,0.001,0.1,100.0,97.60204081632654,66.34241245136187
2,0.01,0.1,100.0,99.74489795918367,65.56420233463035
2,0.1,0.1,100.0,99.94897959183675,66.53696498054474
2,1.0,0.1,100.0,99.94897959183675,67.89883268482491
2,10.0,0.1,100.0,99.94897959183675,68.09338521400778
2,100.0,0.1,100.0,99.94897959183675,68.09338521400778
3,0.001,0.1,100.0,99.94897959183675,65.95330739299611
3,0.01,0.1,100.0,99.94897959183675,65.95330739299611
3,0.1,0.1,100.0,99.94897959183675,67.70428015564202
3,1.0,0.1,100.0,99.94897959183675,68.48249027237354
3,10.0,0.1,100.0,99.94897959183675,68.8715953307393
3,100.0,0.1,100.0,99.94897959183675,68.67704280155642
4,0.001,0.1,100.0,99.94897959183675,65.75875486381322
4,0.01,0.1,100.0,99.94897959183675,65.95330739299611
4,0.1,0.1,100.0,99.94897959183675,68.28793774319067
4,1.0,0.1,100.0,99.94897959183675,68.67704280155642
4,10.0,0.1,100.0,99.94897959183675,68.48249027237354
1,0.001,1,0.001,43.87755102040816,34.824902723735406
1,0.01,1,0.001,93.31632653061224,66.14785992217898
1,0.1,1,0.001,99.59183673469387,65.95330739299611
1,1.0,1,0.001,99.84693877551021,65.95330739299611
1,10.0,1,0.001,99.94897959183675,65.95330739299611
1,100.0,1,0.001,99.94897959183675,65.95330739299611
2,0.001,1,0.001,63.62244897959184,50.38910505836576
2,0.01,1,0.001,99.74489795918367,67.89883268482491
2,0.1,1,0.001,99.94897959183675,68.09338521400778
2,1.0,1,0.001,99.94897959183675,68.09338521400778
2,10.0,1,0.001,99.94897959183675,68.09338521400778
2,100.0,1,0.001,99.94897959183675,68.09338521400778
3,0.001,1,0.001,71.12244897959184,56.42023346303502
3,0.01,1,0.001,99.94897959183675,68.8715953307393
3,0.1,1,0.001,99.94897959183675,68.8715953307393
