{'C': 0.01, 'coef0': 0.001, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'},98.62244897959184,68.28793774319067
{'C': 0.01, 'coef0': 0.001, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.001, 'degree': 3, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.001, 'degree': 3, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.001, 'degree': 3, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.001, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'},23.92857142857143,21.40077821011673
{'C': 0.01, 'coef0': 0.001, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'},99.79591836734694,68.48249027237354
{'C': 0.01, 'coef0': 0.001, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.001, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.001, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.001, 'degree': 4, 'gamma': 100.0, 'kernel': 'poly'},98.62244897959184,68.8715953307393
{'C': 0.01, 'coef0': 0.01, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.01, 'coef0': 0.01, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.01, 'coef0': 0.01, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'},43.826530612244895,34.824902723735406
{'C': 0.01, 'coef0': 0.01, 'degree': 1, 'gamma': 1.0, 'kernel': 'poly'},93.31632653061224,66.14785992217898
{'C': 0.01, 'coef0': 0.01, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'},99.59183673469387,65.95330739299611
{'C': 0.01, 'coef0': 0.01, 'degree': 1, 'gamma': 100.0, 'kernel': 'poly'},99.84693877551021,65.95330739299611
{'C': 0.01, 'coef0': 0.01, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'},23.77551020408163,21.78988326848249
{'C': 0.01, 'coef0': 0.01, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'},63.62244897959184,50.38910505836576
{'C': 0.01, 'coef0': 0.01, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'},99.74489795918367,67.89883268482491
{'C': 0.01, 'coef0': 0.01, 'degree': 2, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.01, 'coef0': 0.01, 'degree': 2, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.01, 'coef0': 0.01, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.01, 'coef0': 0.01, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'},23.8265306122449,21.78988326848249
{'C': 0.01, 'coef0': 0.01, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'},98.62244897959184,68.28793774319067
{'C': 0.01, 'coef0': 0.01, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.01, 'degree': 3, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.01, 'degree': 3, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.01, 'degree': 3, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.01, 'degree': 4, 'gamma': 0.001, 'kernel': 'poly'},23.92857142857143,21.40077821011673
{'C': 0.01, 'coef0': 0.01, 'degree': 4, 'gamma': 0.01, 'kernel': 'poly'},99.79591836734694,68.48249027237354
{'C': 0.01, 'coef0': 0.01, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.01, 'degree': 4, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.01, 'degree': 4, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.8715953307393
{'C': 0.01, 'coef0': 0.01, 'degree': 4, 'gamma': 100.0, 'kernel': 'poly'},98.62244897959184,68.8715953307393
{'C': 0.01, 'coef0': 0.1, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.01, 'coef0': 0.1, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'},23.36734693877551,21.011673151750973
{'C': 0.01, 'coef0': 0.1, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'},43.87755102040816,34.824902723735406
{'C': 0.01, 'coef0': 0.1, 'degree': 1, 'gamma': 1.0, 'kernel': 'poly'},93.31632653061224,66.14785992217898
{'C': 0.01, 'coef0': 0.1, 'degree': 1, 'gamma': 10.0, 'kernel': 'poly'},99.59183673469387,65.95330739299611
{'C': 0.01, 'coef0': 0.1, 'degree': 1, 'gamma': 100.0, 'kernel': 'poly'},99.84693877551021,65.95330739299611
{'C': 0.01, 'coef0': 0.1, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'},23.72448979591837,21.78988326848249
{'C': 0.01, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'},63.92857142857142,50.583657587548636
{'C': 0.01, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'},99.74489795918367,67.89883268482491
{'C': 0.01, 'coef0': 0.1, 'degree': 2, 'gamma': 1.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.01, 'coef0': 0.1, 'degree': 2, 'gamma': 10.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
{'C': 0.01, 'coef0': 0.1, 'degree': 2, 'gamma': 100.0, 'kernel': 'poly'},99.94897959183675,68.09338521400778
