coef0,gamma,C,degree,Training Data, Validation Data,,,
0.1,0.001,1,1,43.82653061,34.82490272,,,
0.1,0.01,1,1,93.31632653,66.14785992,,,
0.1,0.1,1,1,99.59183673,65.95330739,,,
0.1,1,1,1,99.84693878,65.95330739,,,
0.1,10,1,1,99.94897959,65.95330739,,,
0.1,100,1,1,99.94897959,65.95330739,,,
0.1,0.001,1,2,67.75510204,54.08560311,,,
0.1,0.01,1,2,99.74489796,67.89883268,,,
0.1,0.1,1,2,99.94897959,68.09338521,,,
0.1,1,1,2,99.94897959,68.09338521,,,
0.1,10,1,2,99.94897959,68.09338521,,,
0.1,100,1,2,99.94897959,68.09338521,,,
0.1,0.001,1,3,77.55102041,62.06225681,,,
0.1,0.01,1,3,99.94897959,68.87159533,,,
0.1,0.1,1,3,99.94897959,68.87159533,,,
0.1,1,1,3,99.94897959,68.87159533,,,
0.1,10,1,3,99.94897959,68.87159533,,,
0.1,100,1,3,99.94897959,68.6770428,,,
0.1,0.001,1,4,81.78571429,63.61867704,,,
0.1,0.01,1,4,99.94897959,68.87159533,,,
0.1,0.1,1,4,99.94897959,68.87159533,,,
0.1,1,1,4,99.94897959,68.87159533,,,
0.1,10,1,4,99.43877551,69.64980545,,,
0.1,100,1,4,99.18367347,68.87159533,,,
1,0.001,1,1,43.87755102,34.82490272,,,
1,0.01,1,1,93.31632653,66.14785992,,,
1,0.1,1,1,99.59183673,65.95330739,,,
1,1,1,1,99.84693878,65.95330739,,,
1,10,1,1,99.94897959,65.95330739,,,
1,100,1,1,99.94897959,65.95330739,,,
1,0.001,1,2,82.5,65.17509728,,,
1,0.01,1,2,99.74489796,67.70428016,,,
1,0.1,1,2,99.94897959,68.09338521,,,
1,1,1,2,99.94897959,68.09338521,,,
1,10,1,2,99.94897959,68.09338521,,,
1,100,1,2,99.94897959,68.09338521,,,
1,0.001,1,3,94.33673469,67.70428016,,,
1,0.01,1,3,99.94897959,68.48249027,,,
1,0.1,1,3,99.94897959,68.87159533,,,
1,1,1,3,99.94897959,68.87159533,,,
1,10,1,3,99.94897959,68.87159533,,,
1,100,1,3,99.94897959,68.87159533,,,
1,0.001,1,4,98.87755102,67.89883268,,,
1,0.01,1,4,99.94897959,68.6770428,,,
1,0.1,1,4,99.94897959,68.87159533,,,
1,1,1,4,99.94897959,68.87159533,,,
1,100,1,4,99.18367347,68.87159533,,,
10,0.001,1,1,43.82653061,34.82490272,,,
10,0.01,1,1,93.31632653,66.14785992,,,
10,0.1,1,1,99.59183673,65.95330739,,,
10,1,1,1,99.84693878,65.95330739,,,
10,10,1,1,99.94897959,65.95330739,,,
10,100,1,1,99.94897959,65.95330739,,,
10,0.001,1,2,97.90816327,66.14785992,,,
10,0.01,1,2,99.79591837,66.14785992,,,
10,0.1,1,2,99.94897959,67.89883268,,,
10,1,1,2,99.94897959,68.09338521,,,
10,10,1,2,99.94897959,68.09338521,,,
10,100,1,2,99.94897959,68.09338521,,,
10,0.001,1,3,99.79591837,65.75875486,,,
10,0.01,1,3,99.94897959,67.70428016,,,
10,0.1,1,3,99.94897959,68.48249027,,,
10,1,1,3,99.94897959,68.87159533,,,
10,10,1,3,99.94897959,68.87159533,,,
10,100,1,3,99.94897959,68.6770428,,,
10,0.001,1,4,99.94897959,65.95330739,,,
10,0.01,1,4,99.94897959,68.28793774,,,
10,0.1,1,4,99.94897959,68.6770428,,,
10,1,1,4,99.94897959,68.87159533,,,
10,10,1,4,99.18367347,69.06614786,,,
100,0.001,1,1,43.87755102,34.82490272,,,
100,0.01,1,1,93.31632653,66.14785992,,,
100,0.1,1,1,99.59183673,65.95330739,,,
100,1,1,1,99.84693878,65.95330739,,,
100,10,1,1,99.94897959,65.95330739,,,
100,100,1,1,99.94897959,65.95330739,,,
100,0.001,1,2,99.74489796,65.75875486,,,
100,0.01,1,2,99.94897959,65.75875486,,,
100,0.1,1,2,99.94897959,66.53696498,,,
100,1,1,2,99.94897959,67.89883268,,,
100,10,1,2,99.94897959,68.09338521,,,
100,100,1,2,99.94897959,68.09338521,,,
100,0.001,1,3,99.94897959,65.95330739,,,
100,0.01,1,3,99.94897959,65.95330739,,,
100,0.1,1,3,99.94897959,67.70428016,,,
100,1,1,3,99.94897959,68.48249027,,,
100,10,1,3,99.94897959,68.87159533,,,
100,0.001,1,4,99.94897959,65.75875486,,,
100,0.01,1,4,99.94897959,65.95330739,,,
100,0.1,1,4,99.94897959,68.28793774,,,
100,1,1,4,99.94897959,68.6770428,,,
100,10,1,4,99.48979592,68.6770428,,,
0.001,0.001,10,1,93.31632653,66.14785992,,,
0.001,0.01,10,1,99.59183673,65.95330739,,,
0.001,0.1,10,1,99.84693878,65.95330739,,,
0.001,1,10,1,99.94897959,65.95330739,,,
0.001,10,10,1,99.94897959,65.95330739,,,
0.001,100,10,1,99.94897959,65.95330739,,,
0.001,0.001,10,2,97.29591837,67.89883268,,,
0.001,0.01,10,2,99.94897959,68.09338521,,,
0.001,0.1,10,2,99.94897959,68.09338521,,,
0.001,1,10,2,99.94897959,68.09338521,,,
0.001,10,10,2,99.94897959,68.09338521,,,
0.001,100,10,2,99.94897959,68.09338521,,,
0.001,0.001,10,3,98.62244898,68.28793774,,,
0.001,0.01,10,3,99.94897959,68.87159533,,,
0.001,0.1,10,3,99.94897959,68.87159533,,,
0.001,1,10,3,99.94897959,68.87159533,,,
0.001,10,10,3,99.94897959,68.87159533,,,
0.001,0.001,10,4,99.03061224,68.6770428,,,
0.001,0.01,10,4,99.94897959,68.87159533,,,
0.001,0.1,10,4,99.94897959,68.87159533,,,
0.001,1,10,4,99.94897959,68.87159533,,,
0.001,100,10,4,99.18367347,68.87159533,,,
0.01,0.001,10,1,93.31632653,66.14785992,,,
0.01,0.01,10,1,99.59183673,65.95330739,,,
0.01,0.1,10,1,99.84693878,65.95330739,,,
0.01,1,10,1,99.94897959,65.95330739,,,
0.01,10,10,1,99.94897959,65.95330739,,,
0.01,100,10,1,99.94897959,65.95330739,,,
0.01,0.001,10,2,97.39795918,67.70428016,,,
0.01,0.01,10,2,99.94897959,68.09338521,,,
0.01,0.1,10,2,99.94897959,68.09338521,,,
0.01,1,10,2,99.94897959,68.09338521,,,
0.01,10,10,2,99.94897959,68.09338521,,,
0.01,100,10,2,99.94897959,68.09338521,,,
0.01,0.001,10,3,98.62244898,68.48249027,,,
0.01,0.01,10,3,99.94897959,68.87159533,,,
0.01,0.1,10,3,99.94897959,68.87159533,,,
0.01,1,10,3,99.94897959,68.87159533,,,
0.01,10,10,3,99.94897959,68.87159533,,,
0.01,100,10,3,99.3877551,69.64980545,,,
0.01,0.001,10,4,99.03061224,68.6770428,,,
0.01,0.01,10,4,99.94897959,68.87159533,,,
0.01,0.1,10,4,99.94897959,68.87159533,,,
0.01,1,10,4,99.94897959,68.87159533,,,
0.1,0.001,10,1,93.31632653,66.14785992,,,
0.1,0.01,10,1,99.59183673,65.95330739,,,
0.1,0.1,10,1,99.84693878,65.95330739,,,
0.1,1,10,1,99.94897959,65.95330739,,,
0.1,10,10,1,99.94897959,65.95330739,,,
0.1,100,10,1,99.94897959,65.95330739,,,
0.1,0.001,10,2,97.80612245,67.12062257,,,
