{'degree': 2, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.09338521400778
{'degree': 3, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 10.0},81.37755102040816,63.22957198443579
{'degree': 3, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 10.0},99.64285714285714,67.50972762645915
{'degree': 3, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.48249027237354
{'degree': 3, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.8715953307393
{'degree': 3, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 10.0},99.28571428571429,66.9260700389105
{'degree': 4, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.28793774319067
{'degree': 4, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.67704280155642
{'degree': 4, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.8715953307393
{'degree': 4, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 10.0},99.94897959183675,68.8715953307393
{'degree': 1, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 100.0},23.36734693877551,21.011673151750973
{'degree': 1, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 100.0},23.36734693877551,21.011673151750973
{'degree': 1, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 100.0},43.826530612244895,34.824902723735406
{'degree': 1, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 100.0},93.31632653061224,66.14785992217898
{'degree': 1, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 100.0},99.59183673469387,65.95330739299611
{'degree': 1, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 100.0},99.84693877551021,65.95330739299611
{'degree': 2, 'kernel': 'poly', 'gamma': 0.001, 'C': 0.01, 'coef0': 100.0},69.43877551020408,54.6692607003891
{'degree': 2, 'kernel': 'poly', 'gamma': 0.01, 'C': 0.01, 'coef0': 100.0},97.90816326530613,66.14785992217898
{'degree': 2, 'kernel': 'poly', 'gamma': 0.1, 'C': 0.01, 'coef0': 100.0},99.79591836734694,66.14785992217898
{'degree': 2, 'kernel': 'poly', 'gamma': 1.0, 'C': 0.01, 'coef0': 100.0},99.94897959183675,67.89883268482491
{'degree': 2, 'kernel': 'poly', 'gamma': 10.0, 'C': 0.01, 'coef0': 100.0},99.94897959183675,68.09338521400778
{'degree': 2, 'kernel': 'poly', 'gamma': 100.0, 'C': 0.01, 'coef0': 100.0},99.94897959183675,68.09338521400778
